,product,reviewid,thumbsup,thumbsdown,shortreview,longreview,pros,cons,link
0,Used 2017 Honda Civic,acjsanjose,0,3,"""Worse car i own""","My AC broke down after 3 years ,I did my  research and i found this is common problem on honda they have a bad ac system .Cost me over 2000.00 to get it fixed ,iam selling it after repaired ,there is no guarantee that it will happen again and again.",good looking car,Worse ac system,https://www.kbb.com//honda/civic/2017/consumer-reviews/
1,Used 2017 Honda Civic,NA,NA,NA,NA,NA,good looking car,Worse ac system,https://www.kbb.com//honda/civic/2017/consumer-reviews/
2,Used 2017 Honda Civic,JQuest,1,0,"""Inexpensive, quality Transportation""","I have the base LX Sedan with 6 speed manual and zero options.  Drives excellent, has the right amount of power, gets >30mpg, and handles well.  Has every feature I really need.  Two things I knock is on:  Intermittent wipers have only one setting, so you can't find the perfect delay:  secondly, it has an auto lock feature if you are outside the car with key in hand. This doesn't work consistently (locks when you don't want it too, doesn't lock when you want it to) and cannot be shut off on the base model (manual seems to indicate it can be shut off with higher level trims).  I've had no issues with it in two+ years of ownership.css-1h02fnl{-webkit-tap-highlight-color:rgba(127,159,218,.5);-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;color:#3666BD;display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-box-pack:start;-webkit-justify-content:flex-start;-ms-flex-pack:start;justify-content:flex-start;position:relative;-webkit-transform:translateY(0);-ms-transform:translateY(0);transform:translateY(0);margin-top:8px;}.css-1h02fnl span{cursor:pointer;}.css-1h02fnl span:hover{-webkit-text-decoration:underline;text-decoration:underline;}Read less.css-1qs95sv{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;margin:0;-webkit-transform:rotate3d(0,0,1,-180deg);-ms-transform:rotate3d(0,0,1,-180deg);transform:rotate3d(0,0,1,-180deg);-webkit-transition:-webkit-transform .5s;-webkit-transition:transform .5s;transition:transform .5s;}.css-1uff8uj-StyledIcon{color:#000000;height:19px;width:19px;fill:#3666BD;}","Value, fuel economy, comfort",Intetmittant Wipers. Door Auto Lock,https://www.kbb.com//honda/civic/2017/consumer-reviews/
3,Used 2017 Honda Civic,NA,NA,NA,NA,NA,"Value, fuel economy, comfort",Intetmittant Wipers. Door Auto Lock,https://www.kbb.com//honda/civic/2017/consumer-reviews/
4,Used 2017 Honda Civic,Rafa,2,4,"""I am a Service Advisor for Honda""",,NA,NA,https://www.kbb.com//honda/civic/2017/consumer-reviews/
5,Used 2017 Honda Civic,Jona,1,1,"""Cheap realible""",I've bought my Civic in june 2016 and it is fun to drive economical safe and full of tech and powerful but since my ownership ive had so brake issues and electronics issue at 2 years of ownership I had to change my brakes it to early to change brake I wish that Honda extends the warranty beacause the competition does better for warranty and powertrain and Honda can you give an infotainment  system upgrade for your 2016 Honda's and older please beacause its starting to be outdated to but overall the civic is a great car and I recommend it to everybodyRead less,A lot of features than the competition,Electronics and brake problem on early civics,https://www.kbb.com//honda/civic/2017/consumer-reviews/
6,Used 2017 Honda Civic,NA,NA,NA,NA,NA,A lot of features than the competition,Electronics and brake problem on early civics,https://www.kbb.com//honda/civic/2017/consumer-reviews/
7,Used 2017 Honda Civic,pikachuray,1,1,"""Love my Honda- super fast""","I absolutely love my honda. My mom got it for me as a trade in for the 2017 CR-V as we no longer needed a big vehicle. I fell in love with the civic and was originally expecting to get an LX base model which is what we had on the CRV. But mom wanted me to have honda sensing. I now have the EX model which also has the sport feature in it. It's a really fun car to drive and I havent had any problems with it. It drives like a dream and everything works. Occasionally though my apple carplay doesnt line up properly with the calls and my GPS on waze or google maps, but that is only when i have really bad reception in my area. Overall though...it's an awesome car! Highly recommend for first time drivers or teenagers as well as this car is very safe. The automatic breaking feature is a must for people who experience bad drivers that pull out in front of you. ;)Read less",fun to drive,some connection problems with apple carplay,https://www.kbb.com//honda/civic/2017/consumer-reviews/
8,Used 2017 Honda Civic,NA,NA,NA,NA,NA,fun to drive,some connection problems with apple carplay,https://www.kbb.com//honda/civic/2017/consumer-reviews/
9,Used 2017 Honda Civic,Nique,0,0,"""Quality""",Honda quality built. Very stylish design. Fun to drive with the Turbocharged engine. Extremely smooth drive even when pushing the limits. Touring model has all the latest technology. Plenty of extra space with the Hatchback design. I love it!!!!!,Stylish design,No lumbar support in the driver seat.,https://www.kbb.com//honda/civic/2017/consumer-reviews/
10,Used 2017 Honda Civic,NA,NA,NA,NA,NA,Stylish design,No lumbar support in the driver seat.,https://www.kbb.com//honda/civic/2017/consumer-reviews/
11,Used 2017 Honda Civic,AE,0,2,"""Very comfortable.""",The car is really nice and has good feautures.,Fun to drive,Slow,https://www.kbb.com//honda/civic/2017/consumer-reviews/
12,Used 2017 Honda Civic,NA,NA,NA,NA,NA,Fun to drive,Slow,https://www.kbb.com//honda/civic/2017/consumer-reviews/
13,Used 2017 Honda Civic,Cuban pimp,2,2,"""really fast and has what you need for the price/""",just what i needed,fast reliable and well desing,seat belt,https://www.kbb.com//honda/civic/2017/consumer-reviews/
14,Used 2017 Honda Civic,NA,NA,NA,NA,NA,fast reliable and well desing,seat belt,https://www.kbb.com//honda/civic/2017/consumer-reviews/
15,Used 2017 Honda Civic,NoWorries,0,3,"""I love this car!""","My whole life I've been buying cars and this one blows me away, I got the Sport Touring, its loaded with everything you need and more! Fun to drive great stereo, and its got zip! absolutely love it.",Loaded with extras!,"No volume knob, but I can live with it.",https://www.kbb.com//honda/civic/2017/consumer-reviews/
16,Used 2017 Honda Civic,NA,NA,NA,NA,NA,Loaded with extras!,"No volume knob, but I can live with it.",https://www.kbb.com//honda/civic/2017/consumer-reviews/
17,Used 2017 Honda Civic,Francolozy,1,0,"""Awesome city car""",,NA,NA,https://www.kbb.com//honda/civic/2017/consumer-reviews/
18,Used 2017 Honda Civic,Gisela,1,0,"""Great Honda""",,NA,NA,https://www.kbb.com//honda/civic/2017/consumer-reviews/
19,Used 2017 Honda Civic,Sydney,3,0,"""Hot with a skirt and powerful underneath...""","Perfections are almost possible with my Honda Civic.  I wish the acceleration was a bit faster on the jump to get me ahead at stop signs, lights, and highway ramp exits, but I am sure they have changed that in more recent years by now.  I love the space, stability, the superb handling for swerving out of danger and great with blue make up.  She's a real brick house!  As she reaches her peak speeds, she can't be messed with as she owns hwy driving for the best performance if you commute often.  She has power, ump and kick!  Her technology is not confusing if you listen to the salesman or let him walk you through the set up.  I like this car as I have tested the rest and non compares to the civics comfort.  Except the seats are a bit awkward, but designed to keep you safe in a head or side impact collision like it did for me.  My body hardly moved as those seats kept me intact with the full air bags that went off.  PS. I also couldn't see after the airbags went off to steer the car so I had to use my imagination.  God looked after me.  Not a scratch.  Try Jesus and He will take care of you too.  He may have done so already.Read less","peak speed, design, safety, style, mileage, handle","airbags fully block your view, acceleration",https://www.kbb.com//honda/civic/2017/consumer-reviews/
20,Used 2017 Honda Civic,NA,NA,NA,NA,NA,"peak speed, design, safety, style, mileage, handle","airbags fully block your view, acceleration",https://www.kbb.com//honda/civic/2017/consumer-reviews/
21,Used 2017 Honda Civic,RedSiRich,10,0,"""Amazing Car for the Price!""","Great car for transportation or fun.  Like all Honda's, it is small on the outside and big on the inside.  Amazing performance given the very high gas mileage I have achieved (right around 43 mpg on the highway at 70 mph).  Style that gets stares and brings remarks.  The side-view video took a while to get used to but now it is vital for checking your blind spot.  No problems whatsoever at 20,000 miles.  I am still loving it!","Great handling, mileage, power",Center screen takes a while to get used to.,https://www.kbb.com//honda/civic/2017/consumer-reviews/
22,Used 2017 Honda Civic,NA,NA,NA,NA,NA,"Great handling, mileage, power",Center screen takes a while to get used to.,https://www.kbb.com//honda/civic/2017/consumer-reviews/
23,Used 2017 Honda Civic,Mallomelt,14,3,"""Jury is still out""",Don't feel this car is trustworthy on long trips. After just 25 miles had very loud scraping noise like I was dragging my muffler. Dealer looked at it and fixed it but was not told what the problem was. After just 1200 miles A/C went out. Had to have compressor replaced. Had a very loud banging noise in back like someone was hitting side of car with a baseball bat. Dealer service tech discovered two plastic clips were not installed in trunk during manufacture (made in Canada). What these clips were for I have no idea but noise hasn't reoccurred (yet). Received notice from Honda about possible problem with turbo-charged engine which will cause engine check light to come on and could be a problem with the engine which would require yet another trip to the service dept.Read less,"Rides nice, quiet.","Not trustworthy, a bit hard to get in and out of",https://www.kbb.com//honda/civic/2017/consumer-reviews/
24,Used 2017 Honda Civic,NA,NA,NA,NA,NA,"Rides nice, quiet.","Not trustworthy, a bit hard to get in and out of",https://www.kbb.com//honda/civic/2017/consumer-reviews/
25,Used 2017 Honda Civic,Dabucks,2,3,"""Feels like a racer""",Best honda I have ever driven.  Smooth and superb control.,"Control, speed, acceleration, body kit, premium ri",Lacks overall hp after initial 4 to 5 seconds.,https://www.kbb.com//honda/civic/2017/consumer-reviews/
26,Used 2017 Honda Civic,NA,NA,NA,NA,NA,"Control, speed, acceleration, body kit, premium ri",Lacks overall hp after initial 4 to 5 seconds.,https://www.kbb.com//honda/civic/2017/consumer-reviews/
